,index,date,name,title_text,content_text,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
0,125,há 22 horas,O Globo,Di María faz hoje seu último jogo pela seleção argentina; relem...,"Além de definir a seleção campeã da Copa América de 2024, a final deste domingo, às 21h, entre Argentina e Colômbia, ficará marcada também por ser a última partida de Ángel Di María pela alviceleste. Um dos maiores jogadores que já vestiram a camisa da seleção...",2024-07-15 16:49:33.268318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,123,há 8 horas,G1,Dupla é presa suspeita de praticar assaltos na Gruta e no Farol...,"Condutor é abordado por manobra perigosa em Maceió e polícia encontra arma
Um homem foi preso na noite deste domingo (14... — ... de cerveja na mão no momento da abordagem. No veículo, a polícia encontrou uma arma, munições, uma peruca e uma balaclava...",2024-07-15 16:49:33.267304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,102,há 6 horas,G1,"Tiroteio no Recife acaba com homem morto, dois presos em casa a...","... Batalhão faziam uma ronda na área quando ouviram disparos de arma de fogo na localidade.
A Polícia Militar contou... — ... no bairro do Pina, na Zona Sul do Recife. A Polícia Militar (PM) informou que dois suspeitos foram presos com uma arma e munições...",2024-07-15 16:49:33.244059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,79,há 5 horas,G1,Justiça concede liberdade provisória para pai de menina morta p...,"Menina de 9 anos morre após ser atingida por tiro acidental de arma do pai em Bragança Paulista, SP
Divulgação/Polícia Civil... — ...
O homem de 53 anos, responsável pela arma de fogo que disparou acidentalmente e matou a filha em Bragança Paulista (SP), foi solto...",2024-07-15 16:49:33.228219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,76,há 11 horas,G1,Chacina em Limoeiro do Norte: um suspeito é preso e outro morre...,"... a identidade informada.
Durante a abordagem, o suspeito tentou fugir e se desfazer de uma arma de fogo, mas foi capturado. Os agentes... — ... pelos crimes de homicídio, tráfico ilícito de drogas e porte ilegal de arma de fogo de uso restrito.
Morto em confronto
Polícia apreendeu...",2024-07-15 16:49:33.227220,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,74,há 4 horas,G1,Dois homens são mortos e casal é baleado em bar em Fortaleza,"... de arma de fogo nas proximidades da Rua Eudes Cardoso com a Rua Vicente Nobre Macedo.
No endereço, os militares foram alertados...",2024-07-15 16:49:33.225220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,69,há 1 hora,G1,Homem é morto a tiros em bar no dia do aniversário em Jurema,"... disparos de arma de fogo. 
A vítima estava comemorando o aniversário quando foi abordada pelos criminosos. José Roberto chegou a ser...",2024-07-15 16:49:33.221690,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,65,há 21 horas,G1,Menina de 9 anos morre após ser atingida por tiro acidental de ...,"Menina de 9 anos morre após ser atingida por tiro acidental de arma do pai em Bragança Paulista, SP
Divulgação/Polícia Civil... — ...
Uma menina de nove anos morreu após ser atingida por um tiro acidental de uma arma do pai, em Bragança Paulista, no interior de São...",2024-07-15 16:49:33.217615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,52,há 8 horas,G1,Atentado contra Trump: senadores no Brasil querem usar caso par...,"... pelo ex-presidente dos Estados Unidos Donald Trump, no sábado (13), serve de exemplo para o Brasil restringir a venda e o uso de armas... — ... no país.
O político afirmou ao blog que pretende usar o episódio como argumento a favor de incluir as armas e munições na lista...",2024-07-15 16:49:33.205262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,53,há 8 horas,G1,Polícia Civil apreende arma e drogas em operação para desarticu...,"..., mais 2 homens foram presos em flagrante por posse ilegal de arma de fogo, em Terra Santa/PA.
""A operação visou desarticular... — ... de prisão foram cumpridos e mais 2 pessoas foram presas em flagrante por posse ilegal de arma de fogo"", disse o delegado...",2024-07-15 16:49:33.205262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,48,há 59 minutos,G1,Irmão que confessou ter matado policial tem pedido de soltura n...,"..., o irmão de Tiago entrou na casa, pegou a arma, voltou para a área externa e atirou contra o soldado, que foi baleado. Em seguida... — Soldado Tiago White e a arma usada pelo irmão para matá-lo, em Uruaçu
Reprodução/TV Anhanguera
O homem que confessou ter matado...",2024-07-15 16:49:33.202817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,47,há 23 horas,O Globo,Lewandowski sobre atentado a Trump: aumento de armas em poder d...,"..."" e reiterou suas críticas ao acesso a armas e munições por civis. Para ele, o trágico episódio deste fim de semana mostra... — ... eleitoral na Pensilvânia
— O aumento indiscriminado de armas de fogo em poder dos cidadãos comuns não representa apenas um risco...",2024-07-15 16:49:33.201820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,45,há 40 minutos,O Globo,Homem é preso por importar ilegalmente fuzil anti-drones,".... A prisão foi feita pela Polícia Federal, em conjunto com a Receita Federal, que avisou sobre uma remessa da arma vindo da Ásia... — ... de invasões
Os policiais federais da Delegacia de Repressão a Crimes Contra o Patrimônio e ao Tráfico de Armas prenderam o homem...",2024-07-15 16:49:33.199818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,43,há 51 minutos,G1,Justiça Militar ouve testemunhas na 1ª audiência do caso dos 8 ...,"... do furto de 21 armas do Arsenal de Guerra do Exército em Barueri, na região metropolitana. 
O furto de 13 metralhadoras .50 M2 HB... — ... (PCC), em São Paulo, e para o Comando Vermelho (CV), no Rio de Janeiro.
Até a última atualização desta reportagem, 19 armas foram...",2024-07-15 16:49:33.199325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
