,index,date,name,title_text,content_text,link,date_b
0,0,29.abr.2024 às 8h00,Folha de S.Paulo - Cotidiano,"PM paulista dispensou teste de dano da bean bag, munição que matou torcedor",letais. ...,https://www1.folha.uol.com.br/cotidiano/2024/04/pm-paulista-dispensou-teste-de-dano-da-bean-bag-municao-que-matou-torcedor.shtml,2024-04-29
1,1,2.abr.2024 às 17h03,Folha de S.Paulo - Cotidiano,"Incentivo a uso de câmeras corporais terá verba federal e regras saem em breve, promete secretário","No caso desta, que também produz armamentos não letais, a câmera acaba de ser lançada e ainda não está formalmente disponível no mercado. ...",https://www1.folha.uol.com.br/cotidiano/2024/04/incentivo-a-uso-de-cameras-corporais-tera-verba-federal-e-regras-saem-em-breve-promete-secretario.shtml,2024-04-02
2,25,2.abr.2024 às 17h03,Folha de S.Paulo - Cotidiano,"Incentivo a uso de câmeras corporais terá verba federal e regras saem em breve, promete secretário","No caso desta, que também produz armamentos não letais, a câmera acaba de ser lançada e ainda não está formalmente disponível no mercado. ...",https://www1.folha.uol.com.br/cotidiano/2024/04/incentivo-a-uso-de-cameras-corporais-tera-verba-federal-e-regras-saem-em-breve-promete-secretario.shtml,2024-04-02
3,50,6.jun.2023 às 14h36,Folha de S.Paulo - Mundo,Itamaraty e militares batem cabeça sobre venda de armas ao Peru,"No ofício, ele se referia à venda de quase 30 mil cartuchos de gás lacrimogêneo feita pela empresa brasileira Condor Tecnologias Não Letais, de Nova Iguaçu (RJ), à Polícia Nacional peruana. ...",https://www1.folha.uol.com.br/mundo/2023/06/itamaraty-e-militares-batem-cabeca-sobre-venda-de-armas-ao-peru.shtml,2023-06-06
4,26,6.jun.2023 às 14h36,Folha de S.Paulo - Mundo,Itamaraty e militares batem cabeça sobre venda de armas ao Peru,"No ofício, ele se referia à venda de quase 30 mil cartuchos de gás lacrimogêneo feita pela empresa brasileira Condor Tecnologias Não Letais, de Nova Iguaçu (RJ), à Polícia Nacional peruana. ...",https://www1.folha.uol.com.br/mundo/2023/06/itamaraty-e-militares-batem-cabeca-sobre-venda-de-armas-ao-peru.shtml,2023-06-06
5,2,6.jun.2023 às 14h36,Folha de S.Paulo - Mundo,Itamaraty e militares batem cabeça sobre venda de armas ao Peru,"No ofício, ele se referia à venda de quase 30 mil cartuchos de gás lacrimogêneo feita pela empresa brasileira Condor Tecnologias Não Letais, de Nova Iguaçu (RJ), à Polícia Nacional peruana. ...",https://www1.folha.uol.com.br/mundo/2023/06/itamaraty-e-militares-batem-cabeca-sobre-venda-de-armas-ao-peru.shtml,2023-06-06
6,3,16.abr.2023 às 11h38,Folha de S.Paulo - Mundo,Guerra da Ucrânia tira Rússia de feira militar mais tradicional da América Latina,"não-letais, e a aeroespacial Akaer. ...",https://www1.folha.uol.com.br/mundo/2023/04/guerra-da-ucrania-tira-russia-de-feira-militar-no-brasil.shtml,2023-04-16
7,75,16.abr.2023 às 11h38,Folha de S.Paulo - Mundo,Guerra da Ucrânia tira Rússia de feira militar mais tradicional da América Latina,"não-letais, e a aeroespacial Akaer. ...",https://www1.folha.uol.com.br/mundo/2023/04/guerra-da-ucrania-tira-russia-de-feira-militar-no-brasil.shtml,2023-04-16
8,51,16.abr.2023 às 11h38,Folha de S.Paulo - Mundo,Guerra da Ucrânia tira Rússia de feira militar mais tradicional da América Latina,"não-letais, e a aeroespacial Akaer. ...",https://www1.folha.uol.com.br/mundo/2023/04/guerra-da-ucrania-tira-russia-de-feira-militar-no-brasil.shtml,2023-04-16
9,27,16.abr.2023 às 11h38,Folha de S.Paulo - Mundo,Guerra da Ucrânia tira Rússia de feira militar mais tradicional da América Latina,"não-letais, e a aeroespacial Akaer. ...",https://www1.folha.uol.com.br/mundo/2023/04/guerra-da-ucrania-tira-russia-de-feira-militar-no-brasil.shtml,2023-04-16
10,4,11.mar.2023 às 17h00,Folha de S.Paulo - Mundo,Governo Lula sofre pressão para suspender venda de armas ao Peru,"A empresa brasileira Condor, de armamentos não letais, confirmou que tem negociações com o governo do Peru. ...",https://www1.folha.uol.com.br/mundo/2023/03/governo-lula-sofre-pressao-para-suspender-venda-de-armas-ao-peru.shtml,2023-03-11
11,100,11.mar.2023 às 17h00,Folha de S.Paulo - Mundo,Governo Lula sofre pressão para suspender venda de armas ao Peru,"A empresa brasileira Condor, de armamentos não letais, confirmou que tem negociações com o governo do Peru. ...",https://www1.folha.uol.com.br/mundo/2023/03/governo-lula-sofre-pressao-para-suspender-venda-de-armas-ao-peru.shtml,2023-03-11
12,52,11.mar.2023 às 17h00,Folha de S.Paulo - Mundo,Governo Lula sofre pressão para suspender venda de armas ao Peru,"A empresa brasileira Condor, de armamentos não letais, confirmou que tem negociações com o governo do Peru. ...",https://www1.folha.uol.com.br/mundo/2023/03/governo-lula-sofre-pressao-para-suspender-venda-de-armas-ao-peru.shtml,2023-03-11
13,28,11.mar.2023 às 17h00,Folha de S.Paulo - Mundo,Governo Lula sofre pressão para suspender venda de armas ao Peru,"A empresa brasileira Condor, de armamentos não letais, confirmou que tem negociações com o governo do Peru. ...",https://www1.folha.uol.com.br/mundo/2023/03/governo-lula-sofre-pressao-para-suspender-venda-de-armas-ao-peru.shtml,2023-03-11
14,76,11.mar.2023 às 17h00,Folha de S.Paulo - Mundo,Governo Lula sofre pressão para suspender venda de armas ao Peru,"A empresa brasileira Condor, de armamentos não letais, confirmou que tem negociações com o governo do Peru. ...",https://www1.folha.uol.com.br/mundo/2023/03/governo-lula-sofre-pressao-para-suspender-venda-de-armas-ao-peru.shtml,2023-03-11
15,101,26.jan.2020 às 16h18,Folha de S.Paulo - Mercado,"Brasil vai assinar dois acordos de defesa com a Índia, diz secretário","aérea, de controle de tráfego aéreo e monitoramento de fronteiras, blindados e veículos de combate, helicópteros, submarinos classe Scorpène, embarcações leves, armas e munições e equipamento não-letais ...",https://www1.folha.uol.com.br/mercado/2020/01/brasil-vai-assinar-dois-acordos-de-defesa-com-a-india.shtml,2020-01-26
16,77,26.jan.2020 às 16h18,Folha de S.Paulo - Mercado,"Brasil vai assinar dois acordos de defesa com a Índia, diz secretário","aérea, de controle de tráfego aéreo e monitoramento de fronteiras, blindados e veículos de combate, helicópteros, submarinos classe Scorpène, embarcações leves, armas e munições e equipamento não-letais ...",https://www1.folha.uol.com.br/mercado/2020/01/brasil-vai-assinar-dois-acordos-de-defesa-com-a-india.shtml,2020-01-26
17,53,26.jan.2020 às 16h18,Folha de S.Paulo - Mercado,"Brasil vai assinar dois acordos de defesa com a Índia, diz secretário","aérea, de controle de tráfego aéreo e monitoramento de fronteiras, blindados e veículos de combate, helicópteros, submarinos classe Scorpène, embarcações leves, armas e munições e equipamento não-letais ...",https://www1.folha.uol.com.br/mercado/2020/01/brasil-vai-assinar-dois-acordos-de-defesa-com-a-india.shtml,2020-01-26
18,29,26.jan.2020 às 16h18,Folha de S.Paulo - Mercado,"Brasil vai assinar dois acordos de defesa com a Índia, diz secretário","aérea, de controle de tráfego aéreo e monitoramento de fronteiras, blindados e veículos de combate, helicópteros, submarinos classe Scorpène, embarcações leves, armas e munições e equipamento não-letais ...",https://www1.folha.uol.com.br/mercado/2020/01/brasil-vai-assinar-dois-acordos-de-defesa-com-a-india.shtml,2020-01-26
