,date,name,title_text,content_text,link
0,11.jul.2024 às 23h00,Folha de S.Paulo - Cotidiano,"Com alta de letalidade policial, gestão Caiado acumula polêmicas na segurança em Goiás","A polêmica mais recente foi o caso que envolve o goleiro Ramón Souza, 22, do Grêmio Anápolis, atingido na noite de quarta-feira (10) por um tiro de bala de borracha disparado por um policial ...",https://www1.folha.uol.com.br/cotidiano/2024/07/com-alta-de-letalidade-policial-gestao-caiado-acumula-polemicas-na-seguranca-em-goias.shtml
1,11.jul.2024 às 13h57,Folha de S.Paulo - Esporte,"Goleiro baleado só queria apartar a briga, diz colega de time","Souza, 22, foi atingido por uma bala de borracha na coxa esquerda dentro de campo após o jogo entre Grêmio Anápolis e Centro Oeste. ...",https://www1.folha.uol.com.br/esporte/2024/07/goleiro-baleado-so-queria-apartar-a-briga-diz-colega-de-time.shtml
2,11.jul.2024 às 13h00,Folha de S.Paulo - Esporte,"'Quer também?', disse PM a outros atletas após atirar, segundo goleiro baleado","Em relato à polícia, atleta atingido por bala de borracha afirma que confusão começou após discussão entre gandula e jogador adversário; OUTRO LADO: polícia diz que apura o caso O goleiro Ramón ...",https://www1.folha.uol.com.br/esporte/2024/07/quer-tambem-disse-pm-a-outros-atletas-apos-atirar-segundo-goleiro-baleado.shtml
3,11.jul.2024 às 10h11,Folha de S.Paulo - Esporte,Mãe diz que goleiro baleado por PM em campo desmaiou e não joga mais neste ano,"de borracha na coxa esquerda, após o jogo entre Grêmio Anápolis e Centro Oeste, conta à Folha que o filho não jogará mais durante a Divisão de Acesso do Campeonato Goiano por conta do ferimento ...",https://www1.folha.uol.com.br/esporte/2024/07/mae-diz-que-goleiro-baleado-por-pm-em-campo-desmaiou-e-nao-joga-mais-neste-ano.shtml
4,11.jul.2024 às 2h28,Folha de S.Paulo - Esporte,Goleiro é atingido por bala de borracha disparada pela PM após jogo em Goiás,"Tiro foi disparado durante confusão entre jogadores; PM abriu procedimento administrativo O goleiro Ramón Souza, do Grêmio Anápolis, foi atingido por um tiro de bala de borracha disparado por ...",https://www1.folha.uol.com.br/esporte/2024/07/goleiro-e-baleado-com-bala-de-borracha-por-pm-apos-jogo-em-goias.shtml
5,27.jun.2024 às 12h42,Folha de S.Paulo - Cotidiano,PM que disse celebrar mortes a youtuber é réu por homicídios em Paraisópolis,de borracha). ...,https://www1.folha.uol.com.br/cotidiano/2024/06/pm-que-disse-celebrar-mortes-a-youtuber-e-reu-por-homicidios-em-paraisopolis.shtml
6,29.abr.2024 às 8h00,Folha de S.Paulo - Cotidiano,"PM paulista dispensou teste de dano da bean bag, munição que matou torcedor","A bala de borracha, por sua vez, tem uma faixa de utilização entre 20 a 30 metros do alvo, conforme descrição de um de seus fabricantes. ...",https://www1.folha.uol.com.br/cotidiano/2024/04/pm-paulista-dispensou-teste-de-dano-da-bean-bag-municao-que-matou-torcedor.shtml
7,12.fev.2024 às 14h17,Ao Vivo - Cotidiano,GCM usa bomba de gás e spray de pimenta para dispersar bloco na Barra Funda,"Minha amiga foi ajudar e levou um tiro de bala de borracha no pé"", diz.
Leia mais ...",https://aovivo.folha.uol.com.br/cotidiano/2024/02/09/6362-carnaval-2024-acompanhe-desfiles-blocos-e-noticias.shtml#post439199
8,12.fev.2024 às 12h34,Folha de S.Paulo - Cotidiano,Guarda Civil usa bomba de gás e spray de pimenta para dispersar bloco na Barra Funda,"Minha amiga foi ajudar e levou um tiro de bala de borracha no pé"", diz. ...",https://www1.folha.uol.com.br/cotidiano/2024/02/gcm-usa-bomba-de-gas-e-spray-de-pimenta-para-dispersar-bloco-na-barra-funda.shtml
9,2.fev.2024 às 16h42,Folha de S.Paulo - Mundo,Protestos contra Milei na Argentina deixam ao menos 32 jornalistas feridos,Um advogado de direitos humanos e assessor legislativo do partido de esquerda também teve o olho operado após ser atingido por uma bala de borracha. ...,https://www1.folha.uol.com.br/mundo/2024/02/protestos-contra-milei-na-argentina-deixam-ao-menos-32-jornalistas-feridos.shtml
10,11.jan.2024 às 11h53,Folha de S.Paulo - Cotidiano,"PM de SP compra 50 mil bean bags, munição que matou torcedor em 2023","Diferentemente da bean bag, a bala de borracha deve ser usada a uma distância de 20 a 30 metros do oponente, conforme descrição de um dos fabricantes. ...",https://www1.folha.uol.com.br/cotidiano/2024/01/pm-de-sp-compra-50-mil-bean-bags-municao-que-matou-torcedor-em-2023.shtml
11,4.jan.2024 às 12h00,Folha de S.Paulo - Poder,Invasão do STF teve preocupação de ministros com dados sigilosos e de Fux com troféus,Já os manifestantes usaram cadeiras de praia e bandeirões verde-amarelos para dispersar o cheiro do gás e conter os tiros de bala de borracha. ...,https://www1.folha.uol.com.br/poder/2024/01/invasao-do-stf-teve-preocupacao-de-ministros-com-dados-sigilosos-e-de-fux-com-trofeus.shtml
12,29.dez.2023 às 16h45,Folha de S.Paulo - Cotidiano,"Facções se fortalecem com superlotação de presídios, diz secretário de políticas penais","As famílias e os próprios detentos reclamam muito da violência penal, achei até gente cega por causa da bala de borracha... ...",https://www1.folha.uol.com.br/cotidiano/2023/12/faccoes-se-fortalecem-com-superlotacao-de-presidios-diz-secretario-de-politicas-penais.shtml
13,9.nov.2023 às 19h35,Folha de S.Paulo - Cotidiano,Mudança da cracolândia deixa restaurante vazio e atrapalha até a prostituição no centro de SP,"Momentos antes do furto, um dependente químico havia sido atingido por uma bala de borracha. ...",https://www1.folha.uol.com.br/cotidiano/2023/11/mudanca-da-cracolandia-deixa-restaurante-vazio-e-atrapalha-ate-a-prostituicao-no-centro-de-sp.shtml
14,8.nov.2023 às 22h03,Folha de S.Paulo - Cotidiano,Cracolândia de SP tem noite tensa ao migrar para região da estação da Luz,"A sequência de tumultos em novembro começou no dia 1º, quando um dependente químico pediu ajuda a comerciantes após ser atingido por uma bala de borracha no braço. ...",https://www1.folha.uol.com.br/cotidiano/2023/11/cracolandia-de-sp-tem-noite-tensa-ao-migrar-para-regiao-da-estacao-da-luz.shtml
15,8.nov.2023 às 2h09,Folha de S.Paulo - Cotidiano,"Usuários de drogas interditam trechos de avenida na região da cracolândia, em SP","A sequência de tumultos em novembro começou no dia 1º, quando um dependente químico pediu ajuda a comerciantes após ser atingido por uma bala de borracha no braço. ...",https://www1.folha.uol.com.br/cotidiano/2023/11/usuarios-de-drogas-interditam-trechos-de-avenida-na-regiao-da-cracolandia-em-sp.shtml
16,1º.nov.2023 às 22h39,Folha de S.Paulo - Cotidiano,"Homem é atingido por bala de borracha na cracolândia, no centro de SP",de borracha no braço na tarde desta quarta-feira (1°). ...,https://www1.folha.uol.com.br/cotidiano/2023/11/homem-e-atingido-por-bala-de-borracha-na-cracolandia-no-centro-de-sp.shtml
17,1º.nov.2023 às 22h00,Folha de S.Paulo - Mundo,Unesco pede reforço de segurança para jornalistas durante eleições,"A decisão foi tomada em um caso envolvendo o jornalista Alex Silveira, que perdeu a visão do olho esquerdo após ser atingido por uma bala de borracha disparada pela Polícia Militar de São Paulo ...",https://www1.folha.uol.com.br/mundo/2023/11/unesco-pede-reforco-de-seguranca-para-jornalistas-durante-eleicoes.shtml
18,21.out.2023 às 4h03,Folha de S.Paulo - Poder,STF forma maioria para condenar mais cinco réus do 8 de janeiro,"Davis Baek, 41, foi preso na praça dos Três Poderes com dois rojões, um projétil de gás lacrimogêneo, bala de borracha, canivetes e facas. ...",https://www1.folha.uol.com.br/poder/2023/10/quem-sao-os-condenados-no-stf-pelos-ataques-golpistas-de-8-de-janeiro.shtml
19,9.out.2023 às 20h44,Folha de S.Paulo - Cotidiano,"PM matou torcedor do São Paulo após título da Copa do Brasil, aponta laudo","Diferentemente da ""bean bag"", a bala de borracha tem uma faixa de utilização entre 20 a 30 metros do oponente, conforme descrição de um de seus fabricantes. ...",https://www1.folha.uol.com.br/cotidiano/2023/10/pm-matou-torcedor-do-sao-paulo-apos-titulo-da-copa-do-brasil-aponta-laudo.shtml
20,8.out.2023 às 18h06,Folha de S.Paulo - Cotidiano,"Para conter alagamentos, SC fecha a maior barragem do estado após confronto entre PMs e indígenas","Um dos indígenas feridos no confronto foi atingido por uma bala de borracha no rosto, acima do olho esquerdo. Já o segundo ferido foi baleado com um tiro de arma de fogo. ...",https://www1.folha.uol.com.br/cotidiano/2023/10/para-conter-alagamentos-sc-fecha-a-maior-barragem-do-estado-apos-confronto-entre-pms-e-indigenas.shtml
21,2.out.2023 às 18h34,Folha de S.Paulo - Poder,Mendonça suspende julgamento de réus do 8/1 e força reviravolta em formato adotado pelo STF,"Outro, Davis Baek, 41, foi preso na praça dos Três Poderes com dois rojões, um projétil de gás lacrimogêneo, bala de borracha, canivetes e facas. Ele é morador de São Paulo. ...",https://www1.folha.uol.com.br/poder/2023/10/mendonca-suspende-julgamento-de-reus-do-81-e-forca-reviravolta-em-formato-adotado-pelo-stf.shtml
22,1º.out.2023 às 15h46,Folha de S.Paulo - Poder,STF forma maioria para condenar mais cinco réus do 8 de janeiro,"Outro, Davis Baek, 41, foi preso na praça dos Três Poderes com dois rojões, um projétil de gás lacrimogêneo, bala de borracha, canivetes e facas. Ele é morador de São Paulo. ...",https://www1.folha.uol.com.br/poder/2023/10/stf-forma-maioria-para-condenar-mais-cinco-reus-do-8-de-janeiro.shtml
23,28.set.2023 às 22h21,Folha de S.Paulo - Cotidiano,Documento da PM orienta tiro de munição 'bean bag' a partir de 6 metros de distância,Um trecho do Diário Oficial de 23 de maio deste ano sobre justifica a escolha da munição como alternativa à bala de borracha. ...,https://www1.folha.uol.com.br/cotidiano/2023/09/documento-da-pm-orienta-tiro-de-municao-bean-bag-a-partir-de-6-metros-de-distancia.shtml
24,27.set.2023 às 18h57,Ao Vivo - Poder,Rosa Weber cita Supremo como o 'mais atingido pelo vilanismo',"""Todos nós simbolicamente de mãos dadas, desviando das pedras, dos cacos de vidros, dos cartuchos de bala de borracha que abarrotavam o chão da praça."" ...",https://aovivo.folha.uol.com.br/poder/2023/08/14/6330-brasilia-hoje.shtml#post433739
25,27.set.2023 às 18h35,Folha de S.Paulo - Poder,Discurso final de Rosa no STF tem defesa de igualdade de gênero no Judiciário e condenação ao 8/1,"""Todos nós simbolicamente de mãos dadas, desviando das pedras, dos cacos de vidros, dos cartuchos de bala de borracha que abarrotavam o chão da praça"", afirmou. ...",https://www1.folha.uol.com.br/poder/2023/09/discurso-final-de-rosa-no-stf-tem-defesa-de-igualdade-de-genero-no-judiciario-e-condenacao-ao-81.shtml
26,26.set.2023 à 0h42,Folha de S.Paulo - Poder,Moraes vota para condenar mais 5 réus do 8/1 a penas que variam de 12 a 17 anos,"Outro, Davis Baek, 41, foi preso na praça dos Três Poderes com dois rojões, um projétil de gás lacrimogêneo, bala de borracha, canivetes e facas. Ele é morador de São Paulo. ...",https://www1.folha.uol.com.br/poder/2023/09/moraes-vota-para-condenar-mais-5-reus-do-81-a-penas-que-variam-de-12-a-17-anos.shtml
27,17.set.2023 às 21h40,Folha de S.Paulo - Cotidiano,Deputada do RS é agredida com spray de pimenta pela Guarda Municipal,"Levei tiro de bala de borracha e muito gás lacrimogêneo, enxergando somente por um olho"", afirmou a parlamentar no sábado. ...",https://www1.folha.uol.com.br/cotidiano/2023/09/deputada-do-rs-e-agredida-com-spray-de-pimenta-pela-guarda-municipal.shtml
28,21.ago.2023 às 8h00,Folha de S.Paulo - Cotidiano,Protesto vira arma de moradores e comerciantes contra cracolândia,"À noite, equipes da GCM dispersaram os usuários que estavam na esquina da rua dos Gusmões com a avenida Rio Branco com bombas e tiros de bala de borracha. ...",https://www1.folha.uol.com.br/cotidiano/2023/08/protesto-vira-arma-de-moradores-e-comerciantes-contra-cracolandia.shtml
29,16.ago.2023 às 21h49,Folha de S.Paulo - Cotidiano,"Pouco mais de 24 h após ataque a porteiro, jovem é roubada no mesmo ponto da cracolândia",de borracha. ...,https://www1.folha.uol.com.br/cotidiano/2023/08/pouco-mais-de-24-h-apos-ataque-a-porteiro-jovem-e-roubada-no-mesmo-ponto-da-cracolandia.shtml
30,16.ago.2023 às 19h26,Folha de S.Paulo - Cotidiano,"Cracolândia vira barril de pólvora com morte, protestos e brigas entre lojistas e usuários",de borracha. ...,https://www1.folha.uol.com.br/cotidiano/2023/08/cracolandia-vira-barril-de-polvora-com-morte-protestos-e-brigas-entre-lojistas-e-usuarios.shtml
31,16.ago.2023 às 14h22,Folha de S.Paulo - Cotidiano,Porteiro é vítima de latrocínio na cracolândia em dia marcado por tensão,de borracha. ...,https://www1.folha.uol.com.br/cotidiano/2023/08/porteiro-e-vitima-de-latrocinio-na-cracolandia-em-dia-marcado-por-tensao.shtml
32,15.ago.2023 às 19h11,Folha de S.Paulo - Cotidiano,"GCM dispara balas de borracha na cracolândia, e usuários voltam a se espalhar pelo centro de SP",de borracha. ...,https://www1.folha.uol.com.br/cotidiano/2023/08/lojistas-impedem-volta-da-cracolandia-para-entorno-da-rua-santa-ifigenia-em-sp.shtml
33,9.ago.2023 às 4h11,Folha de S.Paulo - Cotidiano,Professoras e amigos fazem homenagem a adolescente morto em ação da PM no Rio,Moradores registraram também policiais atirando com bala de borracha e jogando jatos de spray de pimenta em quem estava na rua. ...,https://www1.folha.uol.com.br/cotidiano/2023/08/professoras-e-amigos-fazem-homenagem-a-adolescente-morto-em-acao-da-pm-no-rio.shtml
34,4.jul.2023 às 8h00,Folha de S.Paulo - Cotidiano,"'Posição taturana' e torção de testículos são usadas para torturar presos no CE, relata Defensoria",O caso mais grave identificado pela Defensoria foi de um preso que relatou ter perdido os testículos após sofrer um disparo de bala de borracha na genitália. ...,https://www1.folha.uol.com.br/cotidiano/2023/07/posicao-taturana-e-torcao-de-testiculos-sao-usadas-para-torturar-presos-no-ce-relata-defensoria.shtml
35,29.jun.2023 às 22h03,sem name,Marcas do cárcere,Preso mostra mão supostamente ferida com bala de borracha em unidade prisional do Ceará ...,https://fotografia.folha.uol.com.br/galerias/1770087090410973-marcas-do-carcere
36,24.jun.2023 às 12h00,Folha de S.Paulo - Poder,"Tenho pesadelos, diz vítima da PM em ato contra Bolsonaro há dois anos",O ferimento provocado pelo disparo de bala de borracha provocou uma cavidade na região ocular esquerda de Daniel. ...,https://www1.folha.uol.com.br/poder/2023/06/tenho-pesadelos-diz-vitima-da-pm-em-ato-contra-bolsonaro-ha-dois-anos.shtml
37,14.jun.2023 às 11h30,Folha de S.Paulo - Ilustrada,Documentário sobre Junho de 2013 revive momento em que o Brasil parou,"O depoimento de Giuliana Vallone, repórter da Folha que teve o olho atingido por uma bala de borracha disparada por um policial durante manifestação, é uma das passagens mais dramáticas do documentário ...",https://www1.folha.uol.com.br/ilustrada/2023/06/documentario-sobre-junho-de-2013-revive-momento-em-que-o-brasil-parou.shtml
38,13.jun.2023 às 20h06,Folha - Colunistas - Wilson Gomes,Junho de 2013: diário de bordo dos primeiros dias,Erro grotesco: bala de borracha nos olhos de jornalista muda o enquadramento de qualquer cobertura. ...,https://www1.folha.uol.com.br/colunas/wilson-gomes/2023/06/junho-de-2013-diario-de-bordo-dos-primeiros-dias.shtml
39,9.jun.2023 às 4h02,Folha de S.Paulo - Poder,Violência policial alavancou Junho de 2013 e pavimentou empoderamento militar,de borracha. ...,https://www1.folha.uol.com.br/poder/2023/06/violencia-policial-alavancou-junho-de-2013-e-pavimentou-empoderamento-militar.shtml
