,index,date,name,title_text,content_text,link,date_b,condor,guarda,disparo,matou,morto,mortos,morte,morreu,feriu,bala,fatal,não letal,não-letal,não letais,não-letais
0,129,há 10 horas,G1,Dupla é presa suspeita de praticar assaltos na Gruta e no Farol...,"Condutor é abordado por manobra perigosa em Maceió e polícia encontra arma
Um homem foi preso na noite deste domingo (14... — ... de cerveja na mão no momento da abordagem. No veículo, a polícia encontrou uma arma, munições, uma peruca e uma balaclava...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=130&r=1721093819750&u=https%3A%2F%2Fg1.globo.com%2Fal%2Falagoas%2Fnoticia%2F2024%2F07%2F15%2Fdupla-e-presa-suspeita-de-praticar-assaltos-na-gruta-e-no-farol-em-maceio.ghtml&syn=False&key=b7b1bce4ad147274c1623477a59fe921,2024-07-15 20:11:16.049001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,102,há 6 horas,G1,"Tiroteio no Recife acaba com homem morto, dois presos em casa a...","... Batalhão faziam uma ronda na área quando ouviram disparos de arma de fogo na localidade.
A Polícia Militar contou... — ... no bairro do Pina, na Zona Sul do Recife. A Polícia Militar (PM) informou que dois suspeitos foram presos com uma arma e munições...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=103&r=1721082979640&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fnoticia%2F2024%2F07%2F14%2Fdois-homens-sao-presos-em-casa-abandonada-apos-tiroteio-que-deixou-um-morto-no-recife.ghtml&syn=False&key=307a0711982a66d8d5f5d0c027e8263e,2024-07-15 20:11:16.030695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,77,há 11 horas,G1,Chacina em Limoeiro do Norte: um suspeito é preso e outro morre...,"... a identidade informada.
Durante a abordagem, o suspeito tentou fugir e se desfazer de uma arma de fogo, mas foi capturado. Os agentes... — ... pelos crimes de homicídio, tráfico ilícito de drogas e porte ilegal de arma de fogo de uso restrito.
Morto em confronto
Polícia apreendeu...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=78&r=1721083772614&u=https%3A%2F%2Fg1.globo.com%2Fce%2Fceara%2Fnoticia%2F2024%2F07%2F15%2Fchacina-em-limoeiro-do-norte-um-suspeito-e-preso-e-outro-morre-em-confronto-com-a-policia.ghtml&syn=False&key=74e13d67fe92e1e9199da498d0385cae,2024-07-15 20:11:16.007556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,75,há 4 horas,G1,Dois homens são mortos e casal é baleado em bar em Fortaleza,"... de arma de fogo nas proximidades da Rua Eudes Cardoso com a Rua Vicente Nobre Macedo.
No endereço, os militares foram alertados...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=76&r=1721083772610&u=https%3A%2F%2Fg1.globo.com%2Fce%2Fceara%2Fnoticia%2F2024%2F07%2F15%2Fdois-homens-sao-mortos-e-casal-e-baleado-em-bar-em-fortaleza.ghtml&syn=False&key=18afdd4db6ba2456c4233f14d0024625,2024-07-15 20:11:16.007556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,79,há 5 horas,G1,Justiça concede liberdade provisória para pai de menina morta p...,"Menina de 9 anos morre após ser atingida por tiro acidental de arma do pai em Bragança Paulista, SP
Divulgação/Polícia Civil... — ...
O homem de 53 anos, responsável pela arma de fogo que disparou acidentalmente e matou a filha em Bragança Paulista (SP), foi solto...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=80&r=1721083772619&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fvale-do-paraiba-regiao%2Fnoticia%2F2024%2F07%2F15%2Fjustica-concede-liberdade-provisoria-para-pai-de-menina-morta-por-tiro-acidental-em-braganca-paulista.ghtml&syn=False&key=618d6d5b28d876cadd214445bab983c0,2024-07-15 20:11:16.007556,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,53,há 8 horas,G1,Polícia Civil apreende arma e drogas em operação para desarticu...,"..., mais 2 homens foram presos em flagrante por posse ilegal de arma de fogo, em Terra Santa/PA.
""A operação visou desarticular... — ... de prisão foram cumpridos e mais 2 pessoas foram presas em flagrante por posse ilegal de arma de fogo"", disse o delegado...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=54&r=1721083503994&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2024%2F07%2F12%2Fpolicia-civil-apreende-arma-e-drogas-em-operacao-para-desarticular-grupo-que-furtou-quase-r-1-milhao-em-terra-santa.ghtml&syn=False&key=23f258bc22b3b4e5ff2ee437fc2be8bb,2024-07-15 20:11:15.990668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,52,há 8 horas,G1,Atentado contra Trump: senadores no Brasil querem usar caso par...,"... pelo ex-presidente dos Estados Unidos Donald Trump, no sábado (13), serve de exemplo para o Brasil restringir a venda e o uso de armas... — ... no país.
O político afirmou ao blog que pretende usar o episódio como argumento a favor de incluir as armas e munições na lista...",sem link,2024-07-15 20:11:15.990668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,48,há 1 hora,G1,Irmão que confessou ter matado policial tem pedido de soltura n...,"..., o irmão de Tiago entrou na casa, pegou a arma, voltou para a área externa e atirou contra o soldado, que foi baleado. Em seguida... — Soldado Tiago White e a arma usada pelo irmão para matá-lo, em Uruaçu
Reprodução/TV Anhanguera
O homem que confessou ter matado...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=49&r=1721083503950&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2024%2F07%2F15%2Fsuspeito-de-matar-irmao-policial-tem-pedido-de-soltura-negado.ghtml&syn=False&key=b0b44db8d91b2613425987bd02f1b8c5,2024-07-15 20:11:15.989047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,47,há 23 horas,O Globo,Lewandowski sobre atentado a Trump: aumento de armas em poder d...,"..."" e reiterou suas críticas ao acesso a armas e munições por civis. Para ele, o trágico episódio deste fim de semana mostra... — ... eleitoral na Pensilvânia
— O aumento indiscriminado de armas de fogo em poder dos cidadãos comuns não representa apenas um risco...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=48&r=1721083503948&u=https%3A%2F%2Foglobo.globo.com%2Fmundo%2Fnoticia%2F2024%2F07%2F14%2Flewandowski-sobre-atentado-a-trump-aumento-de-armas-em-poder-dos-cidadaos-coloca-em-xeque-a-democracia.ghtml&syn=False&key=19a9e30d13a41a5d95ff427ce31a38f4,2024-07-15 20:11:15.988045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,45,há 43 minutos,O Globo,Homem é preso por importar ilegalmente fuzil anti-drones,".... A prisão foi feita pela Polícia Federal, em conjunto com a Receita Federal, que avisou sobre uma remessa da arma vindo da Ásia... — ... de invasões
Os policiais federais da Delegacia de Repressão a Crimes Contra o Patrimônio e ao Tráfico de Armas prenderam o homem...",//www.globo.com/busca/click?q=%22armas+n%C3%A3o+letais%22&p=46&r=1721083503943&u=https%3A%2F%2Foglobo.globo.com%2Frio%2Fnoticia%2F2024%2F07%2F15%2Fhomem-e-preso-ao-importar-ilegalmente-fuzil-anti-drones.ghtml&syn=False&key=dba3d25ed32fdd3ea965d48abbfa69b4,2024-07-15 20:11:15.987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
