,date,name,title_text,content_text,link
0,1º.ago.2024 às 11h21,Datafolha - Opinião e sociedade,Fraude e ditadura aparecem em 41% da repercussão sobre eleição na Venezuela,"manipulações Este texto é resultado de uma parceria entre Datafolha e a Codecs, empresa especializada em análise de cenários digitais e reputação
A reeleição de Nicolas Maduro para presidente da Venezuela ...",https://datafolha.folha.uol.com.br/opiniao-e-sociedade/2024/08/fraude-e-ditadura-aparecem-em-41-da-repercussao-sobre-eleicao-na-venezuela.shtml
1,1º.ago.2024 às 9h01,Datafolha - Opinião e sociedade,"Em semana de convenções, engajamento de Datena e Tabata cresce nas redes; Marçal segue líder","O empresário também postou sobre as eleições na Venezuela, tema do segundo post com mais interações em suas redes. ...",https://datafolha.folha.uol.com.br/opiniao-e-sociedade/2024/08/em-semana-de-convencoes-engajamento-de-datena-e-tabata-cresce-nas-redes-marcal-segue-lider.shtml
2,1º.ago.2024 às 8h00,Folha - Colunistas - Ruy Castro,Elocução precoce,Agora Lula acha normais as nojentas trapaças de Nicolás Maduro nas pseudo-eleições da Venezuela. ...,https://www1.folha.uol.com.br/colunas/ruycastro/2024/08/elocucao-precoce.shtml
3,1º.ago.2024 à 0h08,Folha de S.Paulo - Mundo,Brasil assume proteção de asilados e embaixadas de Argentina e Peru em Caracas,"""Agradeço imensamente a disposição do Brasil em assumir a custódia da embaixada argentina na Venezuela"", afirmou o ultraliberal. ...",https://www1.folha.uol.com.br/mundo/2024/08/brasil-assume-protecao-de-asilados-e-embaixadas-de-argentina-e-peru-em-caracas.shtml
4,31.jul.2024 às 23h50,Folha - Colunistas - José Manuel Diogo,Morte de António dos Ramos nos convida a refletir sobre relações Brasil-Portugal,"parte mais sonora da sua vida Nesta semana, poderíamos celebrar a inédita medalha da ginástica olímpica brasileira em Paris, deplorar o já costumeiro e sempre escandaloso roubo democrático na Venezuela ...",https://www1.folha.uol.com.br/colunas/jose-manuel-diogo/2024/07/morte-de-antonio-dos-ramos-nos-convida-a-refletir-sobre-relacoes-brasil-portugal.shtml
5,31.jul.2024 às 23h38,Folha de S.Paulo - Mundo,Análise do New York Times aponta vitória da oposição nas eleições da Venezuela,"O levantamento foi produzido durante o processo de apuração na Venezuela, mas divulgado apenas após os números oficiais serem anunciados do órgão eleitoral, que declarou vitória de Maduro com ...",https://www1.folha.uol.com.br/mundo/2024/07/analise-do-new-york-times-aponta-vitoria-da-oposicao-nas-eleicoes-da-venezuela.shtml
6,31.jul.2024 às 23h37,Folha de S.Paulo - Mundo,Secretário-geral da OEA diz que pedirá prisão de Maduro ao TPI,"Em linhas gerais, o texto levado à votação pedia quatro coisas à Venezuela de Nicolás Maduro. ...",https://www1.folha.uol.com.br/mundo/2024/07/secretario-geral-da-oea-diz-que-pedira-prisao-de-maduro-ao-tpi.shtml
7,31.jul.2024 às 23h36,sem name,Miss Teen Mundial 2024: Conheça as 25 candidatas,"Venezuela, Diana Sánchez ...",https://fotografia.folha.uol.com.br/galerias/1806150759514366-miss-teen-mundial-2024-conheca-as-25-candidatas
8,31.jul.2024 às 23h17,Painel do Leitor - Painel do Leitor,"'PT já está descendo a ladeira, tentando se apoiar num esquerdismo caduco', diz leitor","Dez anos do Templo de Salomão e amor por palavras-cruzadas são outros tópicos comentados Venezuela e Brasil
""Apoio de PT e Lula à farsa de Maduro é vexame histórico"" (Marcos Augusto Gonçalves ...",https://www1.folha.uol.com.br/paineldoleitor/2024/07/pt-ja-esta-descendo-a-ladeira-tentando-se-apoiar-num-esquerdismo-caduco-diz-leitor.shtml
9,31.jul.2024 às 23h00,Folha de S.Paulo - Poder,Apoio a Maduro gera desconforto no governo Lula e municia oposição,"A atuação de Maduro na Venezuela é a postura de um ditador"", publicou. ...",https://www1.folha.uol.com.br/poder/2024/07/apoio-a-maduro-gera-desconforto-dentro-do-governo-lula-e-municia-oposicao.shtml
